epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
81,298.557,0.8599,0.45862,1.0283,0.88395,0.75554,0.84858,0.52352,1.1852,0.61717,1.12132,0.000416,0.000416,0.000416
82,302.231,0.84567,0.43674,1.02523,0.87109,0.77882,0.85628,0.51894,1.20431,0.61159,1.13011,0.0003962,0.0003962,0.0003962
83,305.888,0.83391,0.4407,1.02102,0.8748,0.76804,0.85352,0.52379,1.17969,0.6042,1.12568,0.0003764,0.0003764,0.0003764
84,309.561,0.83862,0.44692,1.02275,0.8827,0.76408,0.84539,0.51177,1.20044,0.60918,1.12511,0.0003566,0.0003566,0.0003566
85,313.218,0.85253,0.45543,1.02217,0.86515,0.79759,0.85931,0.51716,1.21769,0.59375,1.13618,0.0003368,0.0003368,0.0003368
86,316.997,0.85781,0.45337,1.01881,0.87333,0.77748,0.85889,0.52321,1.18895,0.58705,1.132,0.000317,0.000317,0.000317
87,320.65,0.84232,0.44894,1.01427,0.85678,0.77783,0.8625,0.52118,1.18725,0.61622,1.13009,0.0002972,0.0002972,0.0002972
88,324.28,0.81746,0.44471,1.0174,0.89121,0.76944,0.85579,0.51518,1.19776,0.61562,1.1285,0.0002774,0.0002774,0.0002774
89,327.913,0.85711,0.44965,1.02713,0.88745,0.76542,0.85392,0.51778,1.19003,0.61645,1.12806,0.0002576,0.0002576,0.0002576
90,331.563,0.8399,0.43163,1.02118,0.87398,0.76408,0.85469,0.52482,1.17856,0.59508,1.1179,0.0002378,0.0002378,0.0002378
91,336.118,0.80357,0.37991,0.97409,0.88744,0.77078,0.85508,0.5235,1.18652,0.59942,1.12289,0.000218,0.000218,0.000218
92,339.699,0.80022,0.39178,0.96762,0.85525,0.78954,0.85489,0.5177,1.19704,0.61912,1.13434,0.0001982,0.0001982,0.0001982
93,343.291,0.79656,0.39333,0.96952,0.86944,0.78552,0.85281,0.50915,1.20669,0.61138,1.14139,0.0001784,0.0001784,0.0001784
94,346.838,0.80674,0.3759,0.97695,0.88218,0.77281,0.85634,0.51571,1.20573,0.60724,1.1385,0.0001586,0.0001586,0.0001586
95,350.386,0.80045,0.37584,0.97127,0.89135,0.77882,0.85922,0.51307,1.19736,0.58251,1.13346,0.0001388,0.0001388,0.0001388
96,353.936,0.77226,0.36006,0.96389,0.87919,0.78043,0.8525,0.51445,1.19882,0.58523,1.13258,0.000119,0.000119,0.000119
97,357.508,0.79767,0.38007,0.98052,0.88972,0.7748,0.85627,0.51733,1.20627,0.59697,1.13309,9.92e-05,9.92e-05,9.92e-05
98,361.061,0.76737,0.35997,0.96397,0.88058,0.7748,0.85331,0.51807,1.20111,0.59062,1.13199,7.94e-05,7.94e-05,7.94e-05
99,364.601,0.77678,0.368,0.96426,0.8878,0.77427,0.85318,0.5175,1.20575,0.58864,1.13581,5.96e-05,5.96e-05,5.96e-05
100,368.156,0.75898,0.36007,0.95426,0.8894,0.77612,0.8542,0.51812,1.20263,0.58724,1.13514,3.98e-05,3.98e-05,3.98e-05
